#x y co10 co21 13co10 13co21 c18o21 1.45GHz b3 b6 halpha ssc_density
151.012 -6.4706982 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
151.012 -6.4699765 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
151.012 -6.4692549 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
151.012 -6.4685332 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
151.012 -6.4678115 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
151.012 -6.4670898 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
151.01159 -6.4829669 0.0 0.0 0.0 0.0 0.0 0.0 0.001333 0.0 0.0 0.0
151.01159 -6.4822452 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
151.01159 -6.4815235 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.81
151.01159 -6.4808019 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.6681e-16 8.05
151.01159 -6.4800802 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.6034e-16 18.18
151.01159 -6.4793585 0.0 49.275 0.0 0.0 0.0 0.0 0.0 0.0 0.0 5.37
151.01159 -6.4786368 0.0 106.22 0.0 0.0 0.0 0.0 0.0 0.0 2.1024e-16 20.0
151.01159 -6.4779151 36.146 127.032 0.0 0.0 0.0 0.0 0.002553 0.0 3.3351e-16 39.88
151.01159 -6.4771934 35.105 112.709 0.0 9.76 0.0 0.0 0.0 0.0 2.7534e-16 9.05
151.01159 -6.4764717 33.004 97.326 0.0 0.0 0.0 0.0 0.002411 0.0 2.9111e-16 36.46
151.01159 -6.47575 15.396 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7.0381e-16 74.85
151.01159 -6.4750284 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 5.2511e-16 59.63
151.01159 -6.4743067 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.0223e-16 10.88
151.01159 -6.473585 0.0 0.0 0.0 0.0 0.0 0.0 0.002987 0.0 1.6319e-16 5.53
151.01159 -6.4728633 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.96
151.01159 -6.4721416 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
151.01159 -6.4714199 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
151.01159 -6.4706982 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
151.01159 -6.4699765 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
151.01159 -6.4692549 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
151.01159 -6.4685332 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
