# distance(pc) r21 co21(Jy/b.km/s) co21snr co21(Jy/b.km/s) co10snr peak(Jy/b) disp(km/s) w1(Jy/b) w2(Jy/b) w3(Jy/b), r21mask
6648 0 0 0 0 0 0 0 0 0 0 0
6600 0 0 0 0 0 0 0 0 0 0 0
6555 0 0 0 0 0 0 0 0 0 0 0
6512 0 0 0 0 0 0 0 0 0 0 0
6471 0 0 0 0 0 0 0 0 0 0 0
6433 0 0 0 0 0 0 0 0 0 0 0
6397 0 0 0 0 0 0 0 0 0 0 0
6364 0 0 0 0 0 0 0 0 0 0 0
6334 0 0 0 0 0 0 0 0 0 0 0
6306 0 0 0 0 0 0 0 0 0 0 0
6281 0 0 0 0 0 0 0 0 0 0 0
6259 0 0 0 0 0 0 0 0 0 0 0
6239 0 0 0 0 0 0 0 0 0 0 0
6223 0 0 0 0 0 0 0 0 0 0 0
6209 0 0 0 0 0 0 0 0 0 0 0
6198 0 0 0 0 0 0 0 0 0 0 0
6189 0 0 0 0 0 0 0 0 0 0 0
6184 0 0 0 0 0 0 0 0 0 0 0
6182 0 0 0 0 0 0 0 0 0 0 0
6182 0 0 0 0 0 0 0 0 0 0 0
6185 0 0 0 0 0 0 0 0 0 0 0
6191 0 0 0 0 0 0 0 0 0 0 0
6200 0 0 0 0 0 0 0 0 0 0 0
6212 0 0 0 0 0 0 0 0 0 0 0
6227 0 0 0 0 0 0 0 0 0 0 0
6245 0 0 0 0 0 0 0 0 0 0 0
6265 0 0 0 0 0 0 0 0 0 0 0
6288 0 0 0 0 0 0 0 0 0 0 0
6314 0 0 0 0 0 0 0 0 0 0 0
6342 0 0 0 0 0 0 0 0 0 0 0
6373 0 0 0 0 0 0 0 0 0 0 0
6407 0 0 0 0 0 0 0 0 0 0 0
6444 0 0 0 0 0 0 0 0 0 0 0
6482 0 0 0 0 0 0 0 0 0 0 0
6524 0 0 0 0 0 0 0 0 0 0 0
6568 0 0 0 0 0 0 0 0 0 0 0
6614 0 0 0 0 0 0 0 0 0 0 0
6663 0 0 0 0 0 0 0 0 0 0 0
6713 0 0 0 0 0 0 0 0 0 0 0
6767 0 0 0 0 0 0 0 0 0 0 0
6822 0 0 0 0 0 0 0 0 0 0 0
6879 0 0 0 0 0 0 0 0 0 0 0
6939 0 0 0 0 0 0 0 0 0 0 0
7000 0 0 0 0 0 0 0 0 0 0 0
7064 0 0 0 0 0 0 0 0 0 0 0
7130 0 0 0 0 0 0 0 0 0 0 0
7197 0 0 0 0 0 0 0 0 0 0 0
7266 0 0 0 0 0 0 0 0 0 0 0
7337 0 0 0 0 0 0 0 0 0 0 0
7410 0 0 0 0 0 0 0 0 0 0 0
7484 0 0 0 0 0 0 0 0 0 0 0
7560 0 0 0 0 0 0 0 0 0 0 0
7638 0 0 0 0 0 0 0 0 0 0 0
7717 0 0 0 0 0 0 0 0 0 0 0
7797 0 0 0 0 0 0 0 0 0 0 0
7879 0 0 0 0 0 0 0 0 0 0 0
7963 0 0 0 0 0 0 0 0 0 0 0
8047 0 0 0 0 0 0 0 0 0 0 0
8133 0 0 0 0 0 0 0 0 0 0 0
8221 0 0 0 0 0 0 0 0 0 0 0
8309 0 0 0 0 0 0 0 0 0 0 0
8399 0 0 0 0 0 0 0 0 0 0 0
8490 0 0 0 0 0 0 0 0 0 0 0
8582 0 0 0 0 0 0 0 0 0 0 0
8675 0 0 0 0 0 0 0 0 0 0 0
8644 0 0 0 0 0 0 0 0 0 0 0
8549 0 0 0 0 0 0 0 0 0 0 0
8455 0 0 0 0 0 0 0 0 0 0 0
8363 0 0 0 0 0 0 0 0 0 0 0
8271 0 0 0 0 0 0 0 0 0 0 0
8181 0 0 0 0 0 0 0 0 0 0 0
8091 0 0 0 0 0 0 0 0 0 0 0
8003 0 0 0 0 0 0 0 0 0 0 0
7917 0 0 0 0 0 0 0 0 0 0 0
7831 0 0 0 0 0 0 0 0 0 0 0
7747 0 0 0 0 0 0 0 0 0 0 0
7664 0 0 0 0 0 0 0 0 0 0 0
7583 0 0 0 0 0 0 0 0 0 0 0
7503 0 0 0 0 0 0 0 0 0 0 0
7425 0 0 0 0 0 0 0 0 0 0 0
7348 0 0 0 0 0 0 0 0 0 0 0
7273 0 0 0 0 0 0 0 0 0 0 0
7200 0 0 0 0 0 0 0 0 0 0 0
7129 0 0 0 0 0 0 0 0 0 0 0
7059 0 0 0 0 0 0 0 0 0 0 0
6991 0 0 0 0 0 0 0 0 0 0 0
6925 0 0 0 0 0 0 0 0 0 0 0
6861 0 0 0 0 0 0 0 0 0 0 0
6799 0 0 0 0 0 0 0 0 0 0 0
6739 0 0 0 0 0 0 0 0 0 0 0
6681 0 0 0 0 0 0 0 0 0 0 0
6625 0 0 0 0 0 0 0 0 0 0 0
6572 0 0 0 0 0 0 0 0 0 0 0
6520 0 0 0 0 0 0 0 0 0 0 0
6472 0 0 0 0 0 0 0 0 0 0 0
6425 0 0 0 0 0 0 0 0 0 0 0
6381 0 0 0 0 0 0 0 0 0 0 0
6340 0 0 0 0 0 0 0 0 0 0 0
6301 0 0 0 0 0 0 0 0 0 0 0
6264 0 0 0 0 0 0 0 0 0 0 0
6231 0 0 0 0 0 0 0 0 0 0 0
6200 0 0 0 0 0 0 0 0 0 0 0
6171 0 0 0 0 0 0 0 0 0 0 0
6146 0 0 0 0 0 0 0 0 0 0 0
6123 0 0 0 0 0 0 0 0 0 0 0
6103 0 0 0 0 0 0 0 0 0 0 0
6086 0 0 0 0 0 0 0 0 0 0 0
6072 0 0 0 0 0 0 0 0 0 0 0
6060 0 0 0 0 0 0 0 0 0 0 0
6052 0 0 0 0 0 0 0 0 0 0 0
6047 0 0 0 0 0 0 0 0 0 0 0
6044 0 0 0 0 0 0 0 0 0 0 0
6045 0 0 0 0 0 0 0 0 0 0 0
6048 0 0 0 0 0 0 0 0 0 0 0
6054 0 0 0 0 0 0 0 0 0 0 0
6064 0 0 0 0 0 0 0 0 0 0 0
6076 0 0 0 0 0 0 0 0 0 0 0
6091 0 0 0 0 0 0 0 0 0 0 0
6109 0 0 0 0 0 0 0 0 0 0 0
6130 0 0 0 0 0 0 0 0 0 0 0
6153 0 0 0 0 0 0 0 0 0 0 0
6180 0 0 0 0 0 0 0 0 0 0 0
6209 0 0 0 0 0 0 0 0 0 0 0
6241 0 0 0 0 0 0 0 0 0 0 0
6275 0 0 0 0 0 0 0 0 0 0 0
6312 0 0 0 0 0 0 0 0 0 0 0
6352 0 0 0 0 0 0 0 0 0 0 0
6394 0 0 0 0 0 0 0 0 0 0 0
6439 0 0 0 0 0 0 0 0 0 0 0
6486 0 0 0 0 0 0 0 0 0 0 0
6536 0 0 0 0 0 0 0 0 0 0 0
6588 0 0 0 0 0 0 0 0 0 0 0
6642 0 0 0 0 0 0 0 0 0 0 0
6698 0 0 0 0 0 0 0 0 0 0 0
6757 0 0 0 0 0 0 0 0 0 0 0
6817 0 0 0 0 0 0 0 0 0 0 0
6880 0 0 0 0 0 0 0 0 0 0 0
6945 0 0 0 0 0 0 0 0 0 0 0
7011 0 0 0 0 0 0 0 0 0 0 0
7080 0 0 0 0 0 0 0 0 0 0 0
7150 0 0 0 0 0 0 0 0 0 0 0
7222 0 0 0 0 0 0 0 0 0 0 0
7296 0 0 0 0 0 0 0 0 0 0 0
7372 0 0 0 0 0 0 0 0 0 0 0
7449 0 0 0 0 0 0 0 0 0 0 0
7527 0 0 0 0 0 0 0 0 0 0 0
7608 0 0 0 0 0 0 0 0 0 0 0
7689 0 0 0 0 0 0 0 0 0 0 0
7773 0 0 0 0 0 0 0 0 0 0 0
7857 0 0 0 0 0 0 0 0 0 0 0
7943 0 0 0 0 0 0 0 0 0 0 0
8030 0 0 0 0 0 0 0 0 0 0 0
8118 0 0 0 0 0 0 0 0 0 0 0
8208 0 0 0 0 0 0 0 0 0 0 0
8299 0 0 0 0 0 0 0 0 0 0 0
8391 0 0 0 0 0 0 0 0 0 0 0
8484 0 0 0 0 0 0 0 0 0 0 0
8578 0 0 0 0 0 0 0 0 0 0 0
8548 0 0 0 0 0 0 0 0 0 0 0
8452 0 0 0 0 0 0 0 0 0 0 0
8357 0 0 0 0 0 0 0 0 0 0 0
8263 0 0 0 0 0 0 0 0 0 0 0
8171 0 0 0 0 0 0 0 0 0 0 0
8079 0 0 0 0 0 0 0 0 0 0 0
7989 0 0 0 0 0 0 0 0 0 0 0
7900 0 0 0 0 0 0 0 0 0 0 0
7812 0 0 0 0 0 0 0 0 0 0 0
7725 0 0 0 0 0 0 0 0 0 0 0
7640 0 0 0 0 0 0 0 0 0 0 0
7556 0 0 0 0 0 0 0 0 0 0 0
7473 0 0 0 0 0 0 0 0 0 0 0
7393 0 0 0 0 0 0 0 0 0 0 0
7313 0 0 0 0 0 0 0 0 0 0 0
7235 0 0 0 0 0 0 0 0 0 0 0
7159 0 0 0 0 0 0 0 0 0 0 0
7085 0 0 0 0 0 0 0 0 0 0 0
7012 0 0 0 0 0 0 0 0 0 0 0
6941 0 0 0 0 0 0 0 0 0 0 0
6872 0 0 0 0 0 0 0 0 0 0 0
6805 0 0 0 0 0 0 0 0 0 0 0
6739 0 0 0 0 0 0 0 0 0 0 0
6676 0 0 0 0 0 0 0 0 0 0 0
6615 0 0 0 0 0 0 0 0 0 0 0
6556 0 0 0 0 0 0 0 0 0 0 0
6499 0 2 6 0 0 0 4 0 0 0 0
6445 0 2 6 0 0 0 4 0 0 0 0
6393 0 2 4 0 0 0 4 0 0 0 0
6343 0 0 2 0 0 0 2 0 0 0 0
6296 0 0 2 0 0 0 2 0 0 0 0
6251 0 0 0 0 0 0 0 0 0 0 0
6208 0 0 0 0 0 0 0 0 0 0 0
6169 0 0 0 0 0 0 0 0 0 0 0
6132 0 0 0 0 0 0 0 0 0 0 0
6097 0 0 0 0 0 0 0 0 0 0 0
6065 0 0 0 0 0 0 0 0 0 0 0
6037 0 0 0 0 0 0 0 0 0 0 0
6010 0 0 0 0 0 0 0 0 0 0 0
5987 0 0 0 0 0 0 0 0 0 0 0
5967 0 0 0 0 0 0 0 0 0 0 0
5949 0 0 0 0 0 0 0 0 0 0 0
5935 0 1 3 0 0 0 2 0 0 0 0
5923 0 1 3 0 0 0 2 0 0 0 0
5915 0 0 3 0 0 0 2 0 0 0 0
5909 0 0 0 0 0 0 0 0 0 0 0
5907 0 0 0 0 0 0 0 0 0 0 0
5907 0 0 0 0 0 0 0 0 0 0 0
5911 0 0 0 0 0 0 0 0 0 0 0
5917 0 0 0 0 0 0 0 0 0 0 0
5927 0 0 0 0 0 0 0 0 0 0 0
5939 0 0 0 0 0 0 0 0 0 0 0
5955 0 0 0 0 0 0 0 0 0 0 0
5973 0 0 0 0 0 0 0 0 0 0 0
5994 0 0 0 0 0 0 0 0 0 0 0
6018 0 0 0 0 0 0 0 0 0 0 0
6045 0 0 0 0 0 0 0 0 0 0 0
6075 0 0 0 0 0 0 0 0 0 0 0
6108 0 0 0 0 0 0 0 0 0 0 0
6143 0 0 0 0 0 0 0 0 0 0 0
6181 0 0 0 0 0 0 0 0 0 0 0
6222 0 0 0 0 0 0 0 0 0 0 0
6265 0 0 0 0 0 0 0 0 0 0 0
6311 0 0 0 0 0 0 0 0 0 0 0
6359 0 0 0 0 0 0 0 0 0 0 0
6409 0 0 0 0 0 0 0 0 0 0 0
6462 0 0 0 0 0 0 0 0 0 0 0
6517 0 0 0 0 0 0 0 0 0 0 0
6575 0 0 0 0 0 0 0 0 0 0 0
6635 0 0 0 0 0 0 0 0 0 0 0
6696 0 0 0 0 0 0 0 0 0 0 0
6760 0 0 0 0 0 0 0 0 0 0 0
6826 0 0 0 0 0 0 0 0 0 0 0
6894 0 0 0 0 0 0 0 0 0 0 0
6963 0 0 0 0 0 0 0 0 0 0 0
7035 0 0 0 0 0 0 0 0 0 0 0
7108 0 0 0 0 0 0 0 0 0 0 0
7183 0 0 0 0 0 0 0 0 0 0 0
7260 0 0 0 0 0 0 0 0 0 0 0
7338 0 0 0 0 0 0 0 0 0 0 0
7418 0 0 0 0 0 0 0 0 0 0 0
7500 0 0 0 0 0 0 0 0 0 0 0
7583 0 0 0 0 0 0 0 0 0 0 0
7667 0 0 0 0 0 0 0 0 0 0 0
7753 0 0 0 0 0 0 0 0 0 0 0
7840 0 0 0 0 0 0 0 0 0 0 0
7928 0 0 0 0 0 0 0 0 0 0 0
8017 0 0 0 0 0 0 0 0 0 0 0
8108 0 0 0 0 0 0 0 0 0 0 0
8200 0 0 0 0 0 0 0 0 0 0 0
8293 0 0 0 0 0 0 0 0 0 0 0
8387 0 0 0 0 0 0 0 0 0 0 0
8482 0 0 0 0 0 0 0 0 0 0 0
8453 0 0 0 0 0 0 0 0 0 0 0
8356 0 0 0 0 0 0 0 0 0 0 0
8260 0 0 0 0 0 0 0 0 0 0 0
8165 0 0 0 0 0 0 0 0 0 0 0
8071 0 0 0 0 0 0 0 0 0 0 0
7978 0 0 0 0 0 0 0 0 0 0 0
7887 0 0 0 0 0 0 0 0 0 0 0
7797 0 0 0 0 0 0 0 0 0 0 0
7708 0 0 0 0 0 0 0 0 0 0 0
7620 0 0 0 0 0 0 0 0 0 0 0
7533 0 0 0 0 0 0 0 0 0 0 0
