# distance(pc) r21 r21err co21(Jy/b.km/s) peak(Jy/b) disp(km/s) w1(Jy/b) w2(Jy/b) w3(Jy/b)
5.821018336283028475e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.771810057107359171e-04 7.908415136625990272e-05 7.475506281480193138e-04
5.786773807627109818e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.779948943294584751e-04 8.021969551919028163e-05 8.434316259808838367e-04
5.762045941351729198e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.796741853468120098e-04 8.140251884469762444e-05 8.766534738242626190e-04
5.746957582910601559e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.913149026222527027e-04 8.818434434942901134e-05 8.160629658959805965e-04
5.741584728043770156e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.270064433105289936e-04 1.085960029740817845e-04 7.451461278833448887e-04
5.745954630749232820e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.997859555762261152e-04 1.497714838478714228e-04 7.246006862260401249e-04
5.760045116826611775e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.037935577798634768e-04 2.088853216264396906e-04 7.517075864598155022e-04
5.783785142737498973e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.954715259373188019e-04 2.624982444103807211e-04 7.959773065522313118e-04
5.817056567300732240e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.158361163921654224e-04 2.778527850750833750e-04 8.425032719969749451e-04
5.859697034653586343e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.565763229038566351e-04 2.500456757843494415e-04 8.943208376877009869e-04
5.911503807844738731e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.578970790840685368e-04 2.018155064433813095e-04 9.538029553368687630e-04
5.972238349600121182e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.744588709902018309e-04 1.641960552660748363e-04 1.016400288790464401e-03
6.041631422193304388e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.401820092927664518e-04 1.551993045723065734e-04 1.063244533725082874e-03
6.119388472931745127e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.440456300973892212e-04 1.650340418564155698e-04 1.066522789187729359e-03
6.205195083834436446e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.584079338703304529e-04 1.744900364428758621e-04 1.013696310110390186e-03
6.298722289495332006e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.623290638439357281e-04 1.693356462055817246e-04 9.166757808998227119e-04
6.399631601816467082e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.492307685315608978e-04 1.466181856812909245e-04 8.120099082589149475e-04
6.507579619679150710e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.268232055939733982e-04 1.169202732853591442e-04 7.564306142739951611e-04
6.622222140925788153e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.072630304610356688e-04 9.534198034089058638e-05 7.701881695538759232e-04
6.743217731375083531e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.934355386765673757e-04 8.527563477400690317e-05 8.121327264234423637e-04
